Campaign_Name,Campaign_Type,Recipient_ID,Delivery_Status,Open_Status,Click_Status,Conversion_Status,Engagement_Time,Sent_Timestamp,Opened_Timestamp,Clicked_Timestamp,Converted_Timestamp,Recipient_Age,Recipient_Gender,Recipient_Location,Click_Through_Rate
New Product Launch,Push Notification,28,Bounced,Opened,Not Clicked,Not Converted,35,2025-01-07 16:51:32,Not Opened,2025-01-10 07:49:42,Not Converted,50,Female,Houston,0.0
New Product Launch,SMS,29,Delivered,Not Opened,Not Clicked,Not Converted,567,2025-01-23 08:09:10,2025-01-24 07:58:12,Not Clicked,Not Converted,38,Non-Binary,San Francisco,0.0
Summer Sale,SMS,30,Bounced,Not Opened,Clicked,Converted,517,2025-01-20 08:25:59,2025-01-14 20:31:34,2025-01-21 03:22:16,Not Converted,36,Non-Binary,Houston,0.0
Black Friday,Email,31,Bounced,Not Opened,Clicked,Not Converted,28,2024-12-28 07:45:19,Not Opened,2025-01-17 07:27:20,2025-01-25 17:36:29,48,Male,Houston,0.0
Holiday Specials,Email,32,Delivered,Not Opened,Clicked,Not Converted,122,2025-01-10 20:35:56,2025-01-03 17:34:35,2025-01-23 16:49:28,2025-01-19 22:07:50,36,Non-Binary,Miami,1.0
New Product Launch,Push Notification,33,Bounced,Not Opened,Clicked,Not Converted,50,2025-01-24 11:36:48,Not Opened,2025-01-25 10:36:31,Not Converted,38,Non-Binary,Chicago,0.0
Winter Fest,SMS,34,Delivered,Opened,Not Clicked,Not Converted,498,2025-01-14 23:07:14,Not Opened,2024-12-30 21:23:20,Not Converted,47,Male,Houston,0.0
Black Friday,Email,35,Delivered,Not Opened,Not Clicked,Not Converted,452,2025-01-21 20:30:08,Not Opened,Not Clicked,2025-01-16 21:27:24,47,Non-Binary,San Francisco,0.0
Loyalty Program,SMS,36,Bounced,Opened,Not Clicked,Not Converted,359,2024-12-29 02:30:45,2024-12-28 02:31:57,2025-01-16 10:13:04,2025-01-04 03:10:35,23,Male,New York,0.0
Winter Fest,Email,37,Bounced,Opened,Not Clicked,Converted,231,2025-01-22 07:41:53,Not Opened,Not Clicked,Not Converted,20,Non-Binary,Chicago,0.0
Winter Fest,Push Notification,38,Bounced,Opened,Not Clicked,Converted,538,2024-12-31 03:20:55,2025-01-06 02:27:27,Not Clicked,2025-01-07 00:40:10,32,Male,San Francisco,0.0
Black Friday,SMS,39,Delivered,Opened,Not Clicked,Converted,280,2025-01-10 00:19:56,Not Opened,Not Clicked,2025-01-13 20:32:02,31,Non-Binary,Chicago,0.0
Summer Sale,SMS,40,Delivered,Opened,Clicked,Not Converted,468,2025-01-19 18:10:35,Not Opened,2024-12-29 15:00:55,2025-01-16 06:31:02,41,Non-Binary,Miami,1.0
Summer Sale,Push Notification,41,Bounced,Not Opened,Clicked,Converted,302,2025-01-23 04:18:25,Not Opened,Not Clicked,Not Converted,40,Male,San Francisco,0.0
Holiday Specials,Push Notification,42,Delivered,Not Opened,Clicked,Not Converted,432,2025-01-15 05:44:12,2025-01-07 06:09:56,2025-01-16 22:04:30,Not Converted,57,Male,Los Angeles,1.0
Loyalty Program,Email,43,Delivered,Opened,Not Clicked,Converted,239,2025-01-16 05:29:06,2025-01-22 19:20:57,Not Clicked,2025-01-08 15:59:34,59,Male,Miami,0.0
Holiday Specials,Push Notification,44,Delivered,Not Opened,Clicked,Not Converted,224,2025-01-15 06:14:50,2024-12-28 19:12:48,Not Clicked,2025-01-01 00:50:00,22,Male,New York,1.0
Loyalty Program,Email,45,Delivered,Not Opened,Clicked,Converted,597,2025-01-13 09:29:38,2025-01-07 06:59:52,2025-01-08 13:58:33,2024-12-31 14:43:39,23,Non-Binary,San Francisco,1.0
Loyalty Program,Push Notification,46,Delivered,Opened,Clicked,Not Converted,22,2025-01-14 23:23:27,Not Opened,2025-01-13 07:56:03,Not Converted,65,Female,Chicago,1.0
Black Friday,SMS,47,Bounced,Opened,Clicked,Not Converted,521,2024-12-30 18:05:10,Not Opened,Not Clicked,2025-01-17 23:15:34,41,Male,Chicago,0.0
Summer Sale,SMS,48,Bounced,Opened,Not Clicked,Not Converted,285,2025-01-21 15:28:10,Not Opened,Not Clicked,2025-01-09 23:48:48,50,Male,Houston,0.0
Black Friday,Push Notification,49,Bounced,Opened,Not Clicked,Converted,487,2025-01-22 13:00:08,Not Opened,2025-01-20 15:25:13,Not Converted,32,Non-Binary,Los Angeles,0.0
Holiday Specials,Push Notification,50,Delivered,Not Opened,Clicked,Not Converted,118,2025-01-23 21:15:43,2025-01-17 02:00:27,Not Clicked,Not Converted,24,Non-Binary,Los Angeles,1.0
Summer Sale,Push Notification,51,Delivered,Not Opened,Not Clicked,Converted,344,2025-01-18 08:37:37,Not Opened,2024-12-28 01:04:19,Not Converted,30,Female,San Francisco,0.0
Summer Sale,Push Notification,52,Bounced,Opened,Clicked,Not Converted,588,2025-01-24 22:56:30,Not Opened,Not Clicked,2025-01-09 14:54:24,49,Female,Houston,0.0
New Product Launch,Email,53,Delivered,Opened,Clicked,Not Converted,39,2025-01-07 09:03:29,2025-01-02 16:05:20,Not Clicked,2025-01-13 20:46:16,43,Non-Binary,New York,1.0
Loyalty Program,Push Notification,54,Bounced,Opened,Not Clicked,Not Converted,410,2025-01-03 15:58:33,Not Opened,Not Clicked,2025-01-12 19:43:21,36,Female,Los Angeles,0.0
Winter Fest,Push Notification,55,Delivered,Opened,Clicked,Converted,205,2025-01-23 05:09:13,2025-01-06 21:37:23,Not Clicked,Not Converted,48,Non-Binary,Houston,1.0
Black Friday,Push Notification,56,Bounced,Opened,Not Clicked,Converted,142,2025-01-19 10:49:12,Not Opened,2025-01-15 05:30:05,Not Converted,49,Non-Binary,New York,0.0
New Product Launch,Email,57,Delivered,Opened,Clicked,Not Converted,217,2025-01-19 10:45:54,Not Opened,2025-01-01 00:27:19,Not Converted,41,Non-Binary,Miami,1.0
Summer Sale,Push Notification,58,Bounced,Opened,Clicked,Converted,497,2025-01-26 00:38:13,2024-12-31 23:36:59,2025-01-05 22:27:30,Not Converted,23,Male,Houston,0.0
Holiday Specials,Push Notification,59,Delivered,Not Opened,Not Clicked,Converted,144,2025-01-16 21:24:48,2025-01-10 23:40:32,Not Clicked,2025-01-23 16:39:52,34,Male,Los Angeles,0.0
Loyalty Program,Push Notification,60,Bounced,Not Opened,Not Clicked,Converted,338,2025-01-08 01:17:52,Not Opened,2025-01-16 04:25:06,Not Converted,38,Non-Binary,Los Angeles,0.0
New Product Launch,Push Notification,61,Bounced,Not Opened,Not Clicked,Converted,221,2025-01-20 12:20:04,Not Opened,2025-01-02 13:19:48,2025-01-20 03:42:14,59,Non-Binary,San Francisco,0.0
Summer Sale,SMS,62,Delivered,Not Opened,Clicked,Not Converted,428,2025-01-14 23:14:43,Not Opened,Not Clicked,Not Converted,48,Male,New York,1.0
Black Friday,Email,63,Bounced,Not Opened,Not Clicked,Converted,214,2025-01-02 06:54:23,2024-12-29 05:50:33,Not Clicked,2025-01-17 00:56:02,50,Male,San Francisco,0.0
Summer Sale,Email,64,Bounced,Opened,Not Clicked,Converted,572,2025-01-04 15:23:03,2025-01-26 07:54:30,Not Clicked,Not Converted,32,Male,Chicago,0.0
Loyalty Program,Push Notification,65,Bounced,Opened,Clicked,Converted,185,2025-01-04 21:37:23,2025-01-08 21:25:16,Not Clicked,Not Converted,37,Male,San Francisco,0.0
Black Friday,SMS,66,Delivered,Opened,Clicked,Not Converted,30,2025-01-22 19:15:57,Not Opened,2025-01-12 17:43:22,2025-01-16 00:34:14,34,Male,Chicago,1.0
Winter Fest,SMS,67,Delivered,Opened,Clicked,Converted,177,2024-12-28 22:36:30,Not Opened,Not Clicked,Not Converted,36,Female,San Francisco,1.0
Summer Sale,Email,68,Delivered,Opened,Not Clicked,Converted,145,2025-01-01 16:42:31,Not Opened,2025-01-20 20:52:18,Not Converted,50,Male,New York,0.0
New Product Launch,Push Notification,69,Delivered,Not Opened,Not Clicked,Converted,484,2024-12-28 13:42:01,2025-01-17 08:31:04,2025-01-17 02:00:55,2025-01-15 18:29:49,42,Male,Chicago,0.0
Holiday Specials,Email,70,Bounced,Not Opened,Not Clicked,Not Converted,292,2024-12-28 12:42:19,Not Opened,2025-01-13 22:29:49,2025-01-14 14:41:32,26,Female,New York,0.0
Black Friday,SMS,71,Bounced,Not Opened,Clicked,Not Converted,448,2025-01-12 02:39:49,Not Opened,2025-01-07 12:39:00,2025-01-16 23:18:37,42,Female,Los Angeles,0.0
Winter Fest,SMS,72,Delivered,Not Opened,Not Clicked,Converted,364,2025-01-10 14:52:26,2025-01-08 20:50:27,Not Clicked,Not Converted,44,Non-Binary,Houston,0.0
Black Friday,SMS,73,Bounced,Opened,Not Clicked,Not Converted,277,2025-01-01 12:21:59,Not Opened,2025-01-05 03:45:34,2024-12-30 08:21:29,26,Non-Binary,Chicago,0.0
New Product Launch,Email,74,Delivered,Not Opened,Not Clicked,Not Converted,164,2025-01-10 19:32:01,Not Opened,Not Clicked,Not Converted,55,Non-Binary,San Francisco,0.0
Black Friday,Email,75,Delivered,Opened,Clicked,Not Converted,512,2025-01-11 05:56:11,2025-01-24 04:57:16,2025-01-11 14:15:59,2025-01-05 00:00:26,31,Non-Binary,New York,1.0
Summer Sale,Push Notification,76,Delivered,Not Opened,Clicked,Not Converted,591,2025-01-15 17:17:30,Not Opened,Not Clicked,Not Converted,49,Non-Binary,Chicago,1.0
Holiday Specials,Push Notification,77,Delivered,Opened,Clicked,Not Converted,339,2024-12-29 04:30:46,2024-12-28 04:45:42,Not Clicked,Not Converted,43,Male,Houston,1.0
Black Friday,Email,78,Delivered,Not Opened,Clicked,Not Converted,327,2025-01-19 12:07:22,Not Opened,2025-01-06 03:18:29,Not Converted,36,Non-Binary,Houston,1.0
Winter Fest,SMS,79,Delivered,Opened,Clicked,Not Converted,217,2025-01-14 22:55:46,2025-01-19 15:02:31,Not Clicked,2025-01-25 19:05:02,40,Non-Binary,San Francisco,1.0
Summer Sale,Push Notification,80,Bounced,Opened,Clicked,Not Converted,408,2025-01-23 00:04:49,Not Opened,2025-01-03 06:02:59,2025-01-05 13:25:02,48,Male,New York,0.0
Black Friday,Push Notification,81,Delivered,Not Opened,Not Clicked,Converted,229,2025-01-06 17:34:18,2025-01-04 13:33:23,2025-01-21 18:10:45,Not Converted,59,Male,Los Angeles,0.0
New Product Launch,SMS,82,Delivered,Not Opened,Not Clicked,Converted,16,2025-01-11 01:39:37,2025-01-18 10:25:20,Not Clicked,Not Converted,43,Male,Miami,0.0
Winter Fest,Push Notification,83,Delivered,Not Opened,Clicked,Not Converted,124,2025-01-12 18:35:07,Not Opened,Not Clicked,Not Converted,18,Non-Binary,Miami,1.0
Winter Fest,Push Notification,84,Delivered,Opened,Clicked,Converted,122,2025-01-24 17:58:31,Not Opened,Not Clicked,2025-01-07 02:19:46,52,Male,New York,1.0
Black Friday,Push Notification,85,Bounced,Not Opened,Clicked,Not Converted,531,2025-01-02 05:55:21,Not Opened,2025-01-12 10:19:47,2025-01-21 14:49:51,49,Non-Binary,Chicago,0.0
Summer Sale,Push Notification,86,Delivered,Opened,Clicked,Converted,181,2024-12-29 21:45:30,Not Opened,2025-01-09 06:09:39,Not Converted,51,Non-Binary,San Francisco,1.0
Loyalty Program,Email,87,Bounced,Opened,Clicked,Converted,263,2025-01-07 14:09:18,Not Opened,2025-01-09 03:33:02,2025-01-17 19:27:27,30,Female,New York,0.0
Winter Fest,Push Notification,88,Delivered,Not Opened,Not Clicked,Not Converted,90,2025-01-03 11:26:12,2025-01-22 12:52:58,2025-01-03 18:14:42,2025-01-14 20:53:37,43,Female,Chicago,0.0
Loyalty Program,Email,89,Delivered,Opened,Not Clicked,Converted,219,2025-01-14 12:24:16,2025-01-19 12:26:32,Not Clicked,2025-01-14 09:28:05,51,Male,Miami,0.0
Black Friday,SMS,90,Delivered,Opened,Clicked,Converted,478,2025-01-19 23:20:00,2025-01-20 00:17:40,2025-01-18 06:33:37,2024-12-30 14:56:04,59,Non-Binary,San Francisco,1.0
Black Friday,Push Notification,91,Delivered,Opened,Not Clicked,Converted,503,2025-01-17 05:14:17,Not Opened,2025-01-17 02:03:47,2025-01-03 15:33:59,48,Non-Binary,Miami,0.0
Holiday Specials,Email,92,Delivered,Opened,Not Clicked,Not Converted,160,2025-01-11 04:39:22,Not Opened,Not Clicked,2025-01-03 13:17:46,65,Male,New York,0.0
Black Friday,Push Notification,93,Bounced,Not Opened,Clicked,Not Converted,53,2025-01-25 20:51:46,Not Opened,2025-01-13 09:35:34,2025-01-17 16:54:45,36,Non-Binary,Chicago,0.0
Holiday Specials,Push Notification,94,Bounced,Opened,Clicked,Not Converted,13,2025-01-19 03:29:10,Not Opened,Not Clicked,Not Converted,26,Female,San Francisco,0.0
New Product Launch,Email,95,Bounced,Opened,Not Clicked,Not Converted,222,2025-01-25 00:22:38,2025-01-07 17:31:16,Not Clicked,Not Converted,62,Non-Binary,San Francisco,0.0
New Product Launch,Push Notification,96,Delivered,Opened,Clicked,Not Converted,187,2025-01-10 13:20:09,Not Opened,2025-01-24 17:39:50,2025-01-17 12:37:21,58,Female,New York,1.0
Loyalty Program,Email,97,Bounced,Not Opened,Not Clicked,Converted,194,2025-01-23 02:45:26,Not Opened,Not Clicked,Not Converted,19,Non-Binary,New York,0.0
Summer Sale,SMS,98,Delivered,Not Opened,Clicked,Converted,88,2025-01-16 18:46:22,Not Opened,Not Clicked,2025-01-12 10:59:00,18,Female,Miami,1.0
New Product Launch,Email,99,Delivered,Opened,Not Clicked,Not Converted,590,2024-12-29 20:21:18,2025-01-20 03:11:03,2024-12-30 00:25:07,Not Converted,45,Female,San Francisco,0.0
Loyalty Program,SMS,100,Bounced,Opened,Not Clicked,Not Converted,500,2025-01-13 01:42:09,Not Opened,Not Clicked,Not Converted,47,Male,Los Angeles,0.0
Winter Fest,Push Notification,101,Bounced,Opened,Not Clicked,Not Converted,208,2025-01-20 05:46:32,2025-01-15 14:21:43,2024-12-30 01:53:53,2025-01-14 14:20:52,55,Female,Chicago,0.0
Summer Sale,Push Notification,102,Bounced,Opened,Clicked,Not Converted,106,2025-01-15 20:11:43,Not Opened,2025-01-24 13:43:53,2025-01-04 09:05:10,25,Male,Chicago,0.0
Summer Sale,Push Notification,103,Delivered,Not Opened,Not Clicked,Converted,37,2025-01-08 04:05:37,Not Opened,2025-01-19 22:49:38,2025-01-09 07:40:54,39,Male,New York,0.0
Winter Fest,Email,104,Delivered,Opened,Clicked,Converted,234,2025-01-25 13:39:57,Not Opened,2025-01-16 02:21:36,Not Converted,25,Female,Chicago,1.0
Holiday Specials,Email,105,Bounced,Not Opened,Not Clicked,Converted,343,2025-01-02 16:11:56,2025-01-17 18:12:13,2025-01-13 12:06:40,2025-01-25 20:17:33,26,Non-Binary,Miami,0.0
Holiday Specials,Email,106,Delivered,Opened,Not Clicked,Not Converted,494,2025-01-19 11:39:50,Not Opened,2025-01-06 11:53:14,Not Converted,20,Male,New York,0.0
Black Friday,Push Notification,107,Delivered,Not Opened,Clicked,Not Converted,581,2025-01-25 19:07:57,Not Opened,Not Clicked,Not Converted,27,Male,New York,1.0
Summer Sale,SMS,108,Delivered,Not Opened,Clicked,Converted,158,2025-01-01 06:14:41,2025-01-25 21:39:01,Not Clicked,Not Converted,23,Female,Miami,1.0
Winter Fest,SMS,109,Bounced,Not Opened,Not Clicked,Not Converted,377,2025-01-05 19:57:31,Not Opened,2025-01-04 20:15:01,2025-01-15 19:39:47,33,Male,Houston,0.0
Loyalty Program,Email,110,Delivered,Opened,Clicked,Not Converted,229,2025-01-11 20:37:47,2025-01-26 06:25:06,Not Clicked,Not Converted,45,Non-Binary,Chicago,1.0
New Product Launch,Push Notification,111,Bounced,Not Opened,Not Clicked,Converted,326,2025-01-11 07:47:12,Not Opened,2025-01-09 07:56:52,Not Converted,53,Non-Binary,Chicago,0.0
Loyalty Program,Push Notification,112,Delivered,Opened,Not Clicked,Converted,307,2025-01-05 19:12:42,2025-01-13 16:14:05,Not Clicked,Not Converted,56,Female,Los Angeles,0.0
Loyalty Program,Push Notification,113,Delivered,Opened,Clicked,Not Converted,559,2024-12-31 14:36:26,Not Opened,2025-01-24 09:02:03,Not Converted,45,Female,Chicago,1.0
New Product Launch,SMS,114,Bounced,Opened,Clicked,Not Converted,121,2025-01-15 21:56:25,Not Opened,Not Clicked,2025-01-15 12:03:39,58,Non-Binary,Chicago,0.0
New Product Launch,SMS,115,Delivered,Not Opened,Not Clicked,Not Converted,428,2024-12-30 07:20:11,Not Opened,2025-01-21 20:06:25,Not Converted,61,Non-Binary,Houston,0.0
New Product Launch,Email,116,Delivered,Not Opened,Not Clicked,Converted,87,2025-01-02 18:09:21,2025-01-03 14:07:37,Not Clicked,2025-01-11 18:57:49,25,Non-Binary,New York,0.0
Black Friday,SMS,117,Delivered,Opened,Not Clicked,Converted,64,2024-12-29 19:30:39,Not Opened,Not Clicked,2025-01-19 13:29:40,37,Female,Houston,0.0
Black Friday,SMS,118,Delivered,Not Opened,Not Clicked,Converted,479,2025-01-25 12:13:16,Not Opened,Not Clicked,Not Converted,58,Male,Miami,0.0
Loyalty Program,Email,119,Delivered,Not Opened,Not Clicked,Not Converted,84,2025-01-11 00:16:14,2025-01-22 19:05:00,Not Clicked,2025-01-15 01:39:06,51,Male,Chicago,0.0
Black Friday,Push Notification,120,Bounced,Opened,Not Clicked,Converted,171,2025-01-19 10:59:29,2024-12-29 15:52:05,Not Clicked,2025-01-04 23:35:24,52,Male,Houston,0.0
New Product Launch,Email,121,Bounced,Opened,Clicked,Not Converted,208,2025-01-05 01:05:16,2024-12-29 15:52:43,2025-01-22 15:15:11,Not Converted,59,Non-Binary,Houston,0.0
Holiday Specials,Push Notification,122,Bounced,Not Opened,Not Clicked,Not Converted,221,2025-01-19 15:23:40,Not Opened,Not Clicked,2025-01-22 14:55:58,61,Male,Houston,0.0
New Product Launch,Push Notification,123,Delivered,Not Opened,Clicked,Not Converted,587,2025-01-25 15:54:37,Not Opened,Not Clicked,2025-01-08 09:36:00,46,Non-Binary,New York,1.0
Summer Sale,Email,124,Delivered,Not Opened,Clicked,Converted,60,2025-01-23 17:13:56,Not Opened,2025-01-19 14:20:35,2025-01-04 11:56:17,65,Male,Los Angeles,1.0
Loyalty Program,Push Notification,125,Delivered,Not Opened,Clicked,Converted,181,2025-01-19 20:22:00,2024-12-28 14:23:45,2025-01-22 03:20:08,Not Converted,53,Male,Miami,1.0
Black Friday,SMS,126,Bounced,Opened,Not Clicked,Not Converted,107,2025-01-19 13:41:28,Not Opened,2025-01-14 14:48:57,2025-01-20 10:43:16,37,Female,Miami,0.0
Winter Fest,Email,127,Delivered,Not Opened,Not Clicked,Converted,220,2025-01-12 23:25:28,2025-01-12 09:38:51,2025-01-20 19:54:45,Not Converted,62,Non-Binary,Houston,0.0
Summer Sale,Push Notification,128,Delivered,Opened,Clicked,Not Converted,432,2025-01-22 06:28:52,2025-01-26 17:27:39,Not Clicked,2025-01-12 09:13:05,48,Female,Houston,1.0
New Product Launch,SMS,129,Bounced,Not Opened,Not Clicked,Not Converted,320,2025-01-03 06:56:48,2025-01-17 15:39:36,2025-01-14 17:36:15,2024-12-31 09:26:51,24,Male,Miami,0.0
Winter Fest,SMS,130,Delivered,Opened,Clicked,Not Converted,229,2025-01-20 10:58:08,2025-01-01 17:31:53,Not Clicked,Not Converted,21,Female,Chicago,1.0
Loyalty Program,SMS,131,Bounced,Opened,Clicked,Converted,228,2024-12-31 02:42:19,2025-01-25 00:44:52,2025-01-15 12:46:00,Not Converted,46,Female,Chicago,0.0
New Product Launch,SMS,132,Bounced,Opened,Not Clicked,Converted,158,2025-01-15 00:01:39,Not Opened,2025-01-05 05:05:32,2025-01-25 14:34:50,27,Non-Binary,Chicago,0.0
Loyalty Program,Email,133,Bounced,Opened,Clicked,Converted,100,2024-12-31 10:41:45,Not Opened,2025-01-01 10:01:05,Not Converted,65,Non-Binary,New York,0.0
Summer Sale,SMS,134,Bounced,Opened,Not Clicked,Converted,396,2025-01-26 11:55:21,2025-01-02 08:07:04,Not Clicked,2025-01-21 02:56:57,41,Female,Houston,0.0
Summer Sale,SMS,135,Delivered,Opened,Clicked,Not Converted,235,2025-01-19 15:35:02,Not Opened,Not Clicked,Not Converted,59,Non-Binary,New York,1.0
Holiday Specials,Push Notification,136,Delivered,Not Opened,Clicked,Converted,167,2025-01-20 04:58:21,Not Opened,Not Clicked,2025-01-01 03:41:50,57,Male,New York,1.0
Summer Sale,SMS,137,Bounced,Opened,Not Clicked,Converted,85,2025-01-08 11:39:14,2025-01-14 05:16:18,Not Clicked,2025-01-18 15:38:06,28,Non-Binary,New York,0.0
Summer Sale,Push Notification,138,Delivered,Opened,Not Clicked,Not Converted,524,2025-01-22 08:41:05,Not Opened,2025-01-12 10:44:59,Not Converted,36,Female,San Francisco,0.0
Black Friday,SMS,139,Bounced,Opened,Clicked,Not Converted,555,2025-01-23 10:04:38,Not Opened,2025-01-25 22:00:16,2025-01-07 02:15:17,31,Female,New York,0.0
Summer Sale,Email,140,Delivered,Not Opened,Clicked,Not Converted,46,2024-12-28 12:41:22,Not Opened,Not Clicked,Not Converted,63,Non-Binary,Houston,1.0
Loyalty Program,Push Notification,141,Bounced,Opened,Clicked,Not Converted,303,2025-01-22 16:25:17,2024-12-30 20:07:04,Not Clicked,2025-01-26 06:27:55,21,Non-Binary,Miami,0.0
Summer Sale,SMS,142,Delivered,Opened,Not Clicked,Not Converted,215,2025-01-06 15:58:01,Not Opened,Not Clicked,Not Converted,21,Male,New York,0.0
New Product Launch,SMS,143,Delivered,Opened,Clicked,Converted,345,2025-01-10 02:31:05,Not Opened,Not Clicked,2025-01-13 18:26:18,27,Female,San Francisco,1.0
New Product Launch,Email,144,Delivered,Not Opened,Not Clicked,Not Converted,552,2025-01-13 03:40:37,2025-01-26 13:30:40,Not Clicked,Not Converted,63,Female,San Francisco,0.0
Summer Sale,SMS,145,Delivered,Not Opened,Not Clicked,Not Converted,514,2025-01-11 13:54:46,Not Opened,Not Clicked,2024-12-28 19:54:29,63,Non-Binary,Los Angeles,0.0
Loyalty Program,Push Notification,146,Delivered,Opened,Not Clicked,Converted,200,2025-01-25 06:58:57,Not Opened,2025-01-04 17:01:44,2025-01-09 15:58:11,57,Male,Chicago,0.0
